Variable Name,Type,Meaning
educ_ref_12,binary, = 1 if reference person is high school graduate
educ_ref_13,binary," = 1 if reference person attended some college, less than college graduate"
educ_ref_14,binary, = 1 if reference person has Associate’s degree (occupational/vocational or academic)
educ_ref_15,binary, = 1 if reference person has Bachelor’s degree
educ_ref_16,binary," = 1 if reference person has Master’s degree, (professional/Doctorate degree)"
educa2_10.0,binary, = 1 if spouse attended first through eighth grade
educa2_11.0,binary, = 1 if spouse attended ninth through twelfth grade (no HS diploma)
educa2_12.0,binary, = 1 if spouse is high school graduate
educa2_13.0,binary," = 1 if spouse attended some college, less than college graduate"
educa2_14.0,binary, = 1 if spouse has Associate’s degree (occupational/vocational or academic)
educa2_15.0,binary, = 1 if spouse has Bachelor’s degree
educa2_16.0,binary," = 1 if spouse has Master’s degree, (professional/Doctorate degree)"
marital1_2,binary, = 1 if reference person is widowed
marital1_3,binary, = 1 if reference person is divorced
marital1_4,binary, = 1 if reference person is separated
marital1_5,binary, = 1 if reference person was never married
high_edu_10,binary, = 1 if highest level of education in consumer unit is
high_edu_11,binary, = 1 if highest level of education in consumer unit is
high_edu_12,binary, = 1 if highest level of education in consumer unit is
high_edu_13,binary, = 1 if highest level of education in consumer unit is
high_edu_14,binary, = 1 if highest level of education in consumer unit is
high_edu_15,binary, = 1 if highest level of education in consumer unit is
high_edu_16,binary, = 1 if highest level of education in consumer unit is
urban,binary, = 1 if living in urban area
male_ref,binary, = 1 if reference person is else
